Name;Station;Time(norwegian mean time);Average of mean wind speed from main obs. (24 h);Snow depth;Precipitation (24 h);Mean air temperature (24 h)
Svalbard Lufthavn;SN99840;18.03.2022;8.2;15;4.3;-3.3
Svalbard Lufthavn;SN99840;19.03.2022;6.4;16;0;-3.6
Svalbard Lufthavn;SN99840;20.03.2022;6.4;15;0.8;-5.7
Svalbard Lufthavn;SN99840;21.03.2022;10.2;15;0.4;-3.8
Svalbard Lufthavn;SN99840;22.03.2022;6.5;25;0.3;-9.3
Svalbard Lufthavn;SN99840;23.03.2022;4.4;25;0;-16.5
Svalbard Lufthavn;SN99840;24.03.2022;3.8;24;0;-17.4
Svalbard Lufthavn;SN99840;25.03.2022;2.7;24;0;-18.1
Svalbard Lufthavn;SN99840;26.03.2022;3.2;24;0;-17
Svalbard Lufthavn;SN99840;27.03.2022;5;24;0;-15.8
Svalbard Lufthavn;SN99840;28.03.2022;4.5;24;0;-12.8
Svalbard Lufthavn;SN99840;29.03.2022;3.2;24;0;-11.8
Svalbard Lufthavn;SN99840;30.03.2022;3.4;24;0;-12.4
Svalbard Lufthavn;SN99840;31.03.2022;2.9;24;0;-12.9
Svalbard Lufthavn;SN99840;01.04.2022;7;24;0.2;-16
Svalbard Lufthavn;SN99840;02.04.2022;4.4;24;0;-17.9
Svalbard Lufthavn;SN99840;03.04.2022;8.2;24;0;-13.9
Svalbard Lufthavn;SN99840;04.04.2022;9.8;24;0;-12
Svalbard Lufthavn;SN99840;05.04.2022;7.3;23;0;-11.1
Svalbard Lufthavn;SN99840;06.04.2022;6.4;23;0;-11.3
Svalbard Lufthavn;SN99840;07.04.2022;5.3;23;0;-11.3
Svalbard Lufthavn;SN99840;08.04.2022;6.2;23;0;-12
Svalbard Lufthavn;SN99840;09.04.2022;6.1;23;0;-6
Svalbard Lufthavn;SN99840;10.04.2022;10.5;23;0;-9.4
Svalbard Lufthavn;SN99840;11.04.2022;7.6;22;0;-12.3
Svalbard Lufthavn;SN99840;12.04.2022;1.9;22;0;-10.9
Svalbard Lufthavn;SN99840;13.04.2022;2.4;22;0.1;-6.7
Svalbard Lufthavn;SN99840;14.04.2022;2.9;24;0.8;-6.7
Svalbard Lufthavn;SN99840;15.04.2022;3;23;0;-3.1
Svalbard Lufthavn;SN99840;16.04.2022;3.9;24;1.4;-2
Svalbard Lufthavn;SN99840;17.04.2022;3.9;23;2.1;-5.9
Svalbard Lufthavn;SN99840;18.04.2022;2.2;23;1.7;-7.2
Svalbard Lufthavn;SN99840;19.04.2022;2;23;0.1;-7.1
Svalbard Lufthavn;SN99840;20.04.2022;7.4;27;0;-2.6
Svalbard Lufthavn;SN99840;21.04.2022;3.8;22;0;-1.2
Svalbard Lufthavn;SN99840;22.04.2022;5.2;22;0.3;-3.6
Svalbard Lufthavn;SN99840;23.04.2022;2.7;22;0.1;-6.6
Svalbard Lufthavn;SN99840;24.04.2022;5.5;21;0;-10.2
Svalbard Lufthavn;SN99840;25.04.2022;5.7;21;0;-13.9
Svalbard Lufthavn;SN99840;26.04.2022;4.7;21;0;-17.1
Svalbard Lufthavn;SN99840;27.04.2022;5.2;21;0;-16.2
Svalbard Lufthavn;SN99840;28.04.2022;7.5;21;0;-13.9
Svalbard Lufthavn;SN99840;29.04.2022;5.6;21;0;-12.6
Svalbard Lufthavn;SN99840;30.04.2022;3.1;21;0;-11.5
Svalbard Lufthavn;SN99840;01.05.2022;3;21;0;-9.2
Svalbard Lufthavn;SN99840;02.05.2022;2.7;21;0;-11.5
Svalbard Lufthavn;SN99840;03.05.2022;3.2;21;0;-11
Svalbard Lufthavn;SN99840;04.05.2022;3;20;0;-8.6
Svalbard Lufthavn;SN99840;05.05.2022;2.1;20;0;-6.1
Svalbard Lufthavn;SN99840;06.05.2022;2.3;20;0;-3.9
Data valid for 09.05.2022 (CC BY 4.0), The Norwegian Meteorological Institute (MET Norway);;;;;;
